foodName,carbohydrates,protein,fat
飞碟瓜,,1.0 0.1,4.4
黄金西葫芦,3.6,1.8,0.1
黄茎瓜[小南瓜],2.0,1.2,0.9
迷你黄瓜[荷兰乳黄瓜],2.5,1.0,0.2
秋黄瓜[旱黄瓜],2.5,0.9,0.2
南瓜 (栗面）,8.8,1.4,0.1
丝瓜,4.0,1.3,0.2
酸奶(代表值，全脂),2.6,363,2.8
酸奶,1.9,295,3.2
酸奶 (高蛋白),7.3,3.2,2.2
酸奶（脱脂）,10.0,3.3,0.4
酸奶(低脂),9.0,2.7,1.9
酸奶 (果料),10.4,3.1,1.4
酸奶(橘味，脱脂),8.2,3.2,0.3
酸奶（调味）,11.9,3.0,3.2
酸奶 (果粒) 酸奶（全脂，多美鲜全脂果,14.6,3.3,2.9
粒，草莓果粒/覆盆子果粒、 桃果粒/西番莲汁/菠萝果粒),19.9,1.6,2.8
酸奶（全脂，盖瑞牌，全 脂风味发酵乳),14.6,3.1,2.5
酸奶(全脂，花园牌),11.3,1.6,2.8
酸奶（全脂，佳丽牌，益 家全脂风味发酵乳),13.8,2.9,3.1
酸奶（全脂，天润牌浓缩 酸奶，全脂风味发酵乳）,14.1,3.0,2.9
酸奶（全脂，西域春牌新 疆老酸奶，凝固型),15.1,3.1,2.6
"酸奶（低脂，艾美牌,草莓、 芒果、蓝莓、覆盆子、菠萝 味低脂风味发酵乳）",16.9,1.6,2.4
牛油 (板油),1.8,Tr,92.0
牛油 (炼),0.1,Tr,99.7
鸭油 (炼),0.0,Tr,99.7
羊油 (板油),8.0,Tr,88.0
羊油 (炼),0.9,Tr,99.0
猪油 (板油),7.2,Tr,88.7
猪油 (炼),0.2,Tr,99.6
大麦[元麦],,10.2,1.4 73.3
黑大麦,74.3,10.2,2.2
肚里黄,76.7,8.8,1.2
青稞,75.0,8.1,1.5
婴儿配方奶粉（超级能恩 乳蛋白部分水解婴幼儿配方 奶粉1段）,,26.0,59.9
婴儿配方奶粉（雅培金装 亲护乳蛋白部分水解婴儿配 方奶粉1阶段),1.1,27.5,54.9
鸭蛋,3.1,12.6,13.0
鸭蛋白,1.8,9.9,
鸭蛋黄,4.0,14.5,33.8
海鸭蛋,,12.7,13.8 16.9
松花蛋（鸭蛋）[皮蛋],,14.2,10.7 4.5
鸭蛋 (咸鸭蛋，生),,12.7,12.7 6.3
鸭蛋(咸鸭蛋，煮),0.0,13.8,13.5
猪肉（代表值，fat30g),0.0,15.1,30.1
猪肥肉（肥，fat 89g),0.0,2.4,88.6
猪肉 (后臀尖),0.0,14.6,30.8
猪肉 (后肘),0.0,17.0,28.0
猪肉 (肋条肉),0.0,9.3,59.0
猪肉(奶脯)软五花、猪夹心],0.0,7.7,35.3
猪肉（奶面）[硬五花］,2.2,13.6,30.6
猪肉 (前肘),2.9,17.3,22.9
猪肉(瘦，fat g),0.0,20.7,7.8
猪肉 (瘦),1.5,20.3,6.2
猪肉（fat 12g),0.2,19.0,11.7
猪肉(腿）,0.8,17.9,12.8
猪肉 (猪脖),0.0,8.0,60.5
猪大肠,0.0,6.9,18.7
猪大排,1.7,18.3,20.4
猪耳,0.0,19.1,11.1
猪蹄,0.0,22.6,18.8
猪蹄筋,0.5,35.3,1.4
猪头皮,12.7,11.8,44.6
猪肘棒,9.4,16.5,16.0
猪肉（前臀尖，杜长大猪）,0.0,15.3,25.3
猪肉 (前臀尖，良杂猪),0.9,14.2,30.4
猪肉(后臀尖，杜长大猪),0.0,20.8,9.1
猪肉 (后臀尖，良杂猪),0.0,20.0,10.5
猪肉 (硬肋，杜长大猪),0.0,10.8,57.1
猪肉 (硬肋，良杂猪),0.0,11.6,54.4
猪肉 (通脊，杜长大猪),0.0,22.3,7.8
猪肉 (通脊，良杂猪),0.0,20.7,6.4
猪肉 (里脊),0.0,19.6,7.9
猪皮,0.0,27.4,28.1
猪小排 (杜长大猪),0.0,16.8,25.3
猪小排 (良杂猪),0.0,14.1,32.7
猪腿肉 (藏香猪),6.3,17.5,19.2
猪肚,0.7,15.2,5.1
猪肺,0.1,12.2,3.9
猪脑,0.0,10.8,9.8
猪脾,3.1,13.2,3.2
猪肾（fat 8g）［猪腰子],0.0,16.0,8.1
猪小肠,1.7,10.0,2.0
猪心,1.1,16.6,5.3
猪血,0.9,12.2,0.3
猪肚,2.2,14.1,3.5
猪肝,1.8,19.2,4.7
猪舌[口条],0.0,18.1,12.4
猪肾（fat2g）【猪腰子],0.6,15.8,1.8
宫爆肉丁 (罐头),8.4,17.7,27.6
酱汁肉,8.4,15.5,50.4
腊肉 (培根),2.6,22.3,9.0
腊肉(生，fat49g),2.9,11.8,48.8
卤猪杂,11.0,24.6,4.8
午餐肉 (北京),12.0,9.4,15.9
咸肉,0.0,16.5,36.0
"猪肉罐头(珍珠里脊丝,罐头)",10.5,6.7,17.3
猪肝 （卤煮),5.6,26.4,8.3
猪肉 (清蒸),0.0,18.4,13.8
猪蹄 (熟),3.2,23.6,17.0
猪肘棒 (熟),2.1,21.3,24.5
福建式肉松,39.7,25.1,26.0
老年保健肉松,32.5,35.8,20.5
太仓肉松,21.6,38.6,8.3
火腿心全精肉 (雪舫蒋牌),0.0,37.0,19.3
火腿心肉 (生，金云牌),0.0,22.2,48.8
腊肉（生，fat68g),1.8,18.2,68.0
叉烧肉,6.0,20.9,9.8
酱排骨,9.6,21.7,26.7
猪肉罐头 (香糟块肉),0.0,15.5,53.3
猪里脊 (熏烤小里脊),11.8,17.7,3.9
猪肉脯,46.6,28.0,8.8
肉酥,35.5,30.7,27.1
扒猪脸,1.4,18.8,29.6
酱肘子,1.8,29.6,8.5
火腿肉（藏香猪）,5.0,29.1,40.7
风干肉 (藏香猪),1.7,27.1,53.6
茶肠,6.7,9.0,29.6
大腊肠,8.6,12.9,20.1
大肉肠,4.6,12.0,22.9
蛋清肠,5.8,12.5,22.8
儿童肠,15.3,13.1,19.6
风干肠,5.9,12.4,23.3
广东香肠,6.4,18.0,37.3
红果肠,20.3,10.2,15.3
火腿肠,15.6,14.0,10.4
腊肠,15.3,22.0,48.3
松江肠,28.5,12.3,26.5
蒜肠,12.7,7.5,25.4
香肠,11.2,24.1,40.7
香肠 (罐头),1.3,7.9,28.1
火腿肠（小红肠）,6.0,11.8,23.2
火腿肠 (小泥肠),3.2,11.3,26.3
午餐肠,24.9,2.9,16.6
午餐肚,34.7,9.3,0.5
方腿,1.9,16.2,5.0
火腿（fat27g）,4.9,16.0,27.4
金华火腿,0.1,16.4,28.0
火腿肠 (圆腿),1.6,18.4,6.5
脆皮肠,4.8,16.6,24.0
热狗肠,6.9,13.2,25.2
火腿肠 (双汇牌),8.8,12.1,14.6
火腿(fat3g),1.7,15.5,3.4
火腿 (宣威牌),3.7,11.4,56.1
三明治火腿,6.1,12.5,4.5
午餐肉 （上海梅林牌）,3.3,9.0,30.1
白条鱼 （裸鱼）,1.6,16.6,3.3
草鱼,0.0,16.6,5.2
赤眼鳟[金目鱼],0.0,18.1,4.1
鱼[猴鱼］,1.2,17.5,4.3
胡子[塘虱（鱼）］,3.1,15.4,8.0
黄颡鱼「戈牙鱼、黄鳍鱼］,7.1,17.8,2.7
黄鳝[鳝鱼］,1.2,18.0,1.4
黄鳝丝,0.0,15.4,0.8
尖嘴白,4.1,22.7,3.3
口头鱼,4.5,19.6,4.2
鲤鱼[鲤拐子］,0.5,17.6,4.1
罗非鱼,2.8,18.4,1.5
罗非鱼（莫桑比克）[非洲 黑鲫鱼］,1.0,16.0,1.0
泥鳅,1.7,17.9,2.0
青鱼［青皮鱼、青鳞鱼、青混］,0.0,20.1,4.2
乌［黑鱼、乌鱼、生鱼］,0.0,18.5,1.2
银鱼［面条鱼］,0.0,17.2,4.0
湟鱼[裸鲤鱼］,6.7,17.1,3.2
鱼［胡子鲈、鲢胡、旺虾］,0.0,17.3,3.7
花,0.0,15.6,6.1
鲢鱼［白鲢、胖子、连子鱼］,0.0,17.8,3.6
鲫鱼「喜头鱼、海附鱼］,3.8,17.1,2.7
鲮鱼[雪鲮】,0.7,18.4,2.1
鲮鱼 (罐头),8.5,30.7,26.9
编鱼「鲂鱼、武昌鱼］,1.2,18.3,6.3
鳗[鳗鱼、河鳗］,2.3,18.6,10.8
鳙鱼「胖头鱼、摆佳鱼、花 鲢鱼］,4.7,15.3,2.2
瓣鱼「桂鱼、花鲫鱼］,0.0,19.9,4.2
鳟鱼[红鲜鱼],0.2,18.6,2.6
草鱼［白鲩、草包鱼］,0.5,17.7,2.6
鲢鱼[白鲢、胖子、连子鱼］,0.0,16.3,2.1
鲫鱼「喜头鱼、海附鱼],0.7,18.0,1.6
丁桂鱼,0.2,29.7,4.2
乌（野生）「黑鱼、乌鱼、 生鱼】,1.1,19.9,2.3
花骨鱼,0.4,25.8,5.6
黄颡鱼「戈牙鱼、黄鳍鱼],Tr,17.3,10.2
回头鱼,0.4,14.5,5.3
鱼,10.8,14.8,4.5
斑[剑骨鱼],Tr,16.8,7.3
抗浪鱼,2.1,16.6,11.0
蓝鳃太阳鱼,0.3,17.8,2.3
钳鱼,0.7,29.2,10.3
翘嘴红（鲜）,0.1,18.1,5.6
鱼,0.9,20.8,11.3
蝙鱼［鲂鱼、武昌鱼］,0.7,27.0,3.5
鲟鱼,0.6,23.4,0.4
雅鱼,0.1,26.5,2.7
胭脂鱼 (养殖),0.4,38.8,0.6
棒棒鱼 (雅江冷水鱼),Tr,27.1,1.1
尖嘴鱼 (雅江冷水鱼),4.6,17.1,2.2
胡子鱼 (雅江冷水鱼),4.4,17.4,1.3
白姑鱼[白米子(鱼）］,0.0,19.1,8.2
鱼［蓝圆、边鱼］,4.8,18.5,3.4
带鱼［白带鱼、刀鱼］,3.1,17.7,4.9
堤鱼,1.3,17.6,12.8
丁香鱼 (干),4.6,37.5,3.1
狗母鱼[大头狗母鱼］,3.0,16.7,2.3
海鲫鱼[九九鱼],3.6,17.0,13.7
海鳗[鲫勾],0.5,18.8,5.0
红娘鱼[翼红娘鱼］,1.9,18.0,2.8
黄姑鱼[黄婆鸡］,0.0,18.4,7.0
黄鱼 (大黄花鱼),0.8,17.7,2.5
黄鲂［赤虹、老板鱼］,0.6,18.5,0.5
金线鱼[红三鱼],0.0,18.6,2.9
绿鳍马面[面包鱼、橡皮鱼］,1.2,18.1,0.6
梅童鱼「大头仔鱼、丁珠鱼］,0.0,18.9,5.0
沙丁鱼[沙］,0.0,19.8,1.1
沙钻鱼「多鳞鳍、沙梭鱼、 麦穗鱼］,1.2,18.4,0.6
蛇［沙梭鱼］,0.3,20.8,4.2
舌鳎［花纹舌头、舌头鱼］,0.0,17.7,1.4
油抒[香梭鱼］,0.0,15.9,9.0
颚针鱼[针量鱼］,1.4,20.2,10.4
鱼「马鲛鱼、燕鱿鱼、巴鱼］,2.1,21.2,3.1
鱼（咸）[咸马胶］,12.4,23.3,1.6
鲆[片口鱼、比目鱼],0.0,20.8,3.2
鲈鱼[鲈花】,0.0,18.6,3.4
始鱼「青鱼、始巴鱼、 青砖鱼］,2.2,19.9,7.4
鲑鱼【大马哈鱼、三文鱼］,0.0,17.2,7.8
鲑鱼籽酱「大马哈鱼籽酱、 三文鱼籽酱1,14.4,10.9,16.8
鱼（大)[大凤尾鱼］,0.8,13.2,5.5
鱼（小）「小凤尾鱼］,4.0,15.5,5.1
鲨鱼 (真鲨、白斑角鲨),0.0,22.2,3.2
鱼（银鱼）[平鱼］,0.0,18.5,7.3
鲷「黑鲷、铜盆鱼、大目鱼］,2.7,17.9,2.6
鱼[白眼棱鱼］,0.0,18.9,4.8
鲽［比目鱼、凸眼鱼］,0.5,21.1,2.3
鱼[夫鱼],0.0,20.8,0.7
鱼[快鱼、力鱼],0.0,20.7,8.5
鳕鱼「鳕狭、明太鱼］,0.5,20.4,0.5
鱼「鳖鱼］,0.0,20.2,0.9
带鱼 (切段),0.0,17.6,4.2
黄鱼 (小黄花鱼),0.0,17.0,5.1
金蝗鱼,0.0,18.7,2.7
鳍鱼,0.2,14.4,39.4
双髻鲨,0.0,27.4,0.1
紫青低纹 (冰鲜),0.8,20.5,7.2
鱼,Tr,13.7,0.6
鱼 (鲜，刺),5.9,16.8,6.5
大菱鲆鱼（鲜）【多宝鱼］,0.7,17.0,1.1
海鲈鱼 (鲜),0.4,19.5,3.6
红鳍笛鲷[红鱼］,2.7,20.1,4.8
黄姑鱼 (鲜),5.6,14.7,0.7
鱿鱼［马鲛鱼］,4.4,18.7,11.3
石斑鱼 (老虎斑),2.7,20.2,4.3
石斑鱼 (红石斑鱼),1.6,19.9,0.4
石斑鱼 (黑石斑鱼),0.9,20.2,1.2
石斑鱼（花石斑鱼）,1.7,20.2,0.8
苏眉鱼,Tr,16.5,0.4
青衣（红色）,0.2,20.1,0.3
青衣 (孔雀绿色),0.6,19.2,0.3
笠鱼,0.9,22.2,0.5
金枪鱼肉,1.1,23.7,0.3
鱿鱼肉[马鲛鱼肉］,1.0,23.7,0.3
刺泡鱼［刺鲍鱼】,Tr,23.0,0.2
鱼片干,22.0,46.1,3.4
鱼奇油[鱼露、虾油］,0.0,11.2,0.2
鱼排,24.5,10.1,2.4
鱼丸,12.7,11.1,1.3
鱼子酱,24.7,9.6,7.1
草鱼 (熏),9.6,24.0,16.5
丁香鱼 (香辣味),18.3,19.0,28.2
凤尾鱼 (熟）,9.7,23.5,43.0
箭鱼 (炸),10.7,20.8,16.1
金枪鱼 (盐水浸),0.0,23.5,0.6
金枪鱼 (油浸),0.0,27.1,9.0
鲮鱼(豆豉，熟）,17.9,25.5,33.1
鳗鱼 (红烧),9.5,21.3,9.8
鱼（烤，150℃，20分）,0.0,19.1,34.8
鳍鱼 (炸),0.1,17.2,53.4
鱼 (蒸),0.7,14.6,36.5
鱼 (煮),0.4,14.9,34.5
沙丁鱼 (茄汁，熟),3.0,13.8,9.8
沙丁鱼 (盐水浸),0.0,21.5,9.6
沙丁鱼 (油浸),,23.3,14.1 0.0
午餐鱼 (香辣味),3.3,24.4,30.2
鳕鱼 (烤),Tr,21.4,1.2
鳕鱼 (炸),15.6,12.4,14.3
冻干草莓脆果（果仙多维,,,83.7
V草莓萃脆果（冻干）） 肝粉(伊威全机能肝粉),,25.2,20.0
肝酥（方广宝宝营养猪肝酥）,,20.0,35.0
肉松 (伊威婴幼儿纯肉松),36.0,22.0,22.0
肉酥（贝因美宝宝菠菜营养,42.0,32.0,20.0
肉酥） 肉酥（贝因美宝宝胡萝卜营,42.0,32.0,20.0
养肉酥) 肉酥（原味）（贝因美宝宝,42.0,32.0,20.0
原味营养肉酥）,35.0,25.0,20.0
海参,2.5,16.5,0.2
海参 (干),4.5,50.2,4.8
海参 (水浸),0.0,6.0,0.1
海盐皮,3.8,3.7,0.3
海头,11.8,6.0,0.3
墨鱼 (鲜，曼氏无针乌贼),3.4,15.2,0.9
墨鱼 (干，曼氏无针乌贼),2.1,65.3,1.9
鱿鱼 (鲜，中国枪乌贼) [枪乌贼],0.0,17.4,1.6
鱿鱼(干，中国枪乌贼),7.8,60.0,4.6
鱿鱼 (水浸),0.0,17.0,0.8
乌鱼蛋,0.0,14.1,1.1
章鱼（章鱼肉）【八爪鱼］,1.4,10.6,0.4
章鱼[八爪鱼],14.0,18.9,0.4
甲鱼蛋,3.0,12.5,7.3
乌龟 （龟板）,6.8,9.9,44.4
乌龟 (肉),0.4,14.5,21.1
金鲨鱼翅 (干）,2.3,84.1,0.5
鱼翅 (干),0.0,88.4,0.9
棘参 (鲜),,4.1 0.0,1.2
海参(干),9.5,64.0,0.9
梅花参 (泡发),4.5,11.7,0.9
墨鱼 (干),4.2,71.6,1.1
墨鱼圈,0.0,13.0,2.2
墨鱼丸,8.0,13.4,4.7
黄豆[大豆】,34.2,35.0,16.0
黑豆 (干)[黑大豆],33.6,36.0,15.9
青豆（干）[青大豆],35.4,34.5,16.0
黄豆,37.3,33.1,15.9
黄豆粉,37.6,32.7,18.3
豆腐花[豆腐粉］,84.3,10.0,2.6
豆浆粉,66.8,19.7,9.4
豆奶粉 (维维牌),65.2,19.4,9.4
豆奶粉（多力牌）,76.4,12.3,6.5
豆奶粉 (大磨牌),51.6,27.4,13.0
豆腐（代表值）,3.4,6.6,5.3
豆腐(内酯),3.3,5.0,1.9
豆腐脑[老豆腐】,0.0,1.9,0.8
豆腐 (北豆腐),3.0,9.2,8.1
豆腐（南豆腐）,3.9,5.7,5.8
豆奶[豆乳],1.8,2.4,1.5
豆汁(生）,1.4,0.9,0.1
酸豆奶,11.8,2.2,1.2
豆浆,1.2,3.0,1.6
豆浆 (甜),4.9,2.4,0.5
豆腐丝,6.2,21.5,10.5
豆腐丝 (干),3.7,57.7,22.8
豆腐丝 (油),14.5,24.2,17.1
豆腐卷,7.2,17.9,11.6
油豆腐,4.9,17.0,17.6
腐竹,22.3,44.6,21.7
枝竹,20.8,44.4,24.7
千张[百页],5.5,24.5,16.0
豆腐干 (代表值),9.6,14.9,11.3
豆腐干 (菜干),5.0,13.4,7.1
豆腐干 (臭干),4.5,10.2,4.6
豆腐干 (酱油干),4.0,14.9,9.1
豆腐干 (卤干),33.4,14.5,16.7
豆腐干 (蒲包干）,8.9,12.1,5.7
豆腐干 (香干),5.1,15.8,7.8
豆腐干 (小香干),5.4,17.9,9.1
豆腐干 (熏干),8.8,15.8,6.2
豆肝尖,9.4,17.2,12.0
素大肠,13.0,18.1,3.6
素火腿,4.8,19.1,13.2
素鸡,4.2,16.5,12.5
素鸡丝卷,10.1,11.2,13.7
素什锦,8.3,14.0,10.2
炸素虾,19.3,27.6,44.4
烤麸,9.3,20.4,0.3
豆腐皮,12.5,51.6,23.0
,,54.2 27.2,8.1
豆腐干,,19.6 35.2,11.4
白果(干)[银杏],72.6,13.2,1.3
菠萝蜜,36.7,4.9,0.3
核桃(鲜),6.1,12.8,29.9
核桃（干)[胡桃],19.1,14.9,58.8
毛核桃,21.7,12.0,6.7
山核桃 (干),26.2,18.0,50.4
栗子(鲜）[板栗],42.2,4.2,0.7
栗子（干）[板栗],78.4,5.3,1.7
栗子(熟）[板栗],46.0,4.8,1.5
松子 (生),19.0,12.6,62.6
松子（炒）,21.4,14.1,58.5
松子仁,12.2,13.4,70.6
杏仁,23.9,22.5,45.4
杏仁 (大杏仁),27.8,19.9,42.9
杏仁 (炒),18.7,25.7,51.0
杏仁 (原味),19.7,21.3,50.6
杏仁 (漂白后),19.9,21.9,50.6
杏仁 (过油炸干),17.7,21.2,55.2
杏仁 (烤干，不加盐）,19.3,22.1,52.8
杏仁（烤干，加盐）,19.3,22.1,52.8
橡实[橡子，青冈子],50.5,4.0,2.0
榛子 (干),24.3,20.0,44.8
榛子 (炒),13.1,30.5,50.3
山核桃（熟）[小核桃],,8.3,64.5 21.3
栗子[板栗],2.0,4.4,1.6 39.6
栗子[板栗】,3.1,4.4,1.4 41.9
栗子[板栗],1.9,4.4,1.0 36.3
栗子[板栗】,2.1,3.8,0.9 40.7
栗子[板栗],1.8,4.3,1.1 39.9
栗子仁（熟）,,4.5,1.5 45.7
松子(熟）,,12.9,40.4 40.3
杏仁（熟，带壳）,,25.1,58.4 11.0
杏仁 (熟，去壳),,28.0,54.4 11.1
腰果（熟）,10.4,24.0,50.9 20.4
榛子 (熟),12.9,12.5,57.3 25.6
榛子仁（熟）,-,15.6,52.9 26.7
开心果 (熟),8.2,20.6,53.0 21.9
香框（熟）,,12.4,57.0 26.9
花豆(干，红),,19.1,1.3 62.7
花豆(干，紫),7.4,17.2,1.4 65.8
芸豆（干，白),9.8,1.4,57.2
芸豆 (干，红),8.3,21.4 1.3,62.5
芸豆（千，虎皮）,3.5,22.5 0.9,62.5
芸豆 (干，杂，带皮),,22.4,0.6 63.3
葡萄（代表值）,10.3,0.4,0.3
红玫瑰葡萄,10.7,0.4,0.2
葡萄 (巨峰）,12.0,0.4,0.2
葡萄(马奶子),9.1,0.5,0.4
葡萄 (玫瑰香),12.1,0.4,0.4
紫葡萄,10.3,0.7,0.3
葡萄干,83.4,2.5,0.4
红提子葡萄,13.1,0.4,0.2
石榴（代表值）,18.5,1.3,0.2
石榴 (红粉皮),19.4,1.3,0.1
石榴（玛瑙）,18.4,1.6,0.2
石榴 (青皮),18.5,1.2,0.2
柿,18.5,0.4,0.1
荷柿,17.1,0.6,0.2
磨盘柿,19.6,0.7,0.1
柿饼,62.8,1.8,0.2
桑葚（代表值）,13.8,1.7,0.4
桑葚（白）,14.9,1.8,0.3
桑葚(红),,1.6,0.4 12.9
桑葚（干）,54.2,21.1,6.1
醋栗[灯笼果］,10.2,0.9,0.6
黑醋栗[黑加仑］,15.4,1.4,0.4
沙棘,25.5,0.9,1.8
无花果,16.0,1.5,0.1
中华猕猴桃[毛叶猕猴桃],14.5,0.8,0.6
草莓[洋莓，凤阳草莓],7.1,1.0,0.2
无花果 (干),77.8,3.6,4.3
白萝卜（鲜）[莱］,4.0,0.7,0.1
萝卜[红皮萝卜],4.2,0.8,0.1
红旦旦萝卜[樱桃萝下，小水萝],4.3,0.8,Tr
红萝卜[萝],4.6,1.0,0.1
红心萝卜[心里美],9.8,1.2,Tr
花叶萝卜,11.5,1.2,0.1 福
水萝[脆萝],5.5,0.8,Tr
小水萝卜[算盘子，红皮萝卜],4.2,1.1,0.2
红心萝卜[心里美],4.9,0.8,0.2
白萝卜 (圆),3.6,0.7,0.2
青萝卜,6.9,1.2,0.2
樱桃萝卜,3.0,0.9,0.1
胡萝卜（红)[金笋，丁香萝卜],8.8,1.0,0.2
胡萝卜 (黄),10.2,1.4,0.2
胡萝卜 (脱水),77.9,4.2,1.9
胡萝卜,8.1,1.0,0.2
芥菜头[大头菜，水芥］,7.4,1.9,0.2
蓝[玉蔓菁，球茎甘蓝， 大头菜］,7.0,1.3,0.2
甜菜根(鲜）甜菜头，糖萝卜],23.5,1.0,0.1
根芹［根洋芹、球根塘蒿］,10.0,2.2,0.1
紫菜头,10.6,1.8,0.2
面条(贝因美蛋黄营养面条),,11.0,5.0
面条(贝因美果蔬营养面条),,11.0,5.0
面条(贝因美黑芝麻营养面条),,11.0,5.0
面条（方广金装彩面核桃黑 芝麻蔬菜营养面),70.0,6.0,1.5
面条（亨氏金装粒粒面黑米 紫薯面）,72.0,11.2,4.5
面条(伊威猪肝蔬菜营养面),56.0,6.0,3.0
鹤鹑蛋,2.1,12.8,11.1
鹤鹑蛋 (五香罐头),0.0,11.6 11.7,0.0
鲍鱼[杂色鲍］,6.6,12.6,0.8
鲍鱼 (干),13.7,54.1,5.6
蛏子,2.1,7.3,0.3
蛏干[蛏子缢、蛏青子］,27.4,46.5,4.9
赤贝,0.0,13.9,0.6
河蚌,0.7,10.9,0.8
河蚬[蚬子】,1.7,7.0,1.4
牡蛎[海蛎子],8.2,5.3,2.1
生蚝,0.0,10.9,1.5
泥蚶［血蚶、珠蚶］,6.0,10.0,0.8
扇贝 (鲜),2.6,11.1,0.6
扇贝（干）[干贝],5.1,55.6,2.4
鲜贝,2.5,15.7,0.5
银蚶[蚶子],2.3,12.2,1.4
贻贝（鲜）[淡菜、壳菜］,4.7,11.4,1.7
贻贝（干）「淡菜、壳菜],20.1,47.8,9.3
海蚌[西施舌],0.2,9.5,0.3
鲍鱼 (皱纹鲍),4.8,13.7,0.1
蛤蜊(代表值）,2.8,10.1,1.1
蛤蜊 (花蛤),2.2,7.7,0.6
蛤蜊（毛蛤剌）),7.1,15.0,1.0
蛤蜊 (秋蛤剌),5.0,15.6,0.7
蛤蜊(沙蛤蜊）,0.8,8.9,1.9
蛤蜊 (杂色蛤蜊),0.7,7.5,2.2
螺（代表值）,6.6,15.7,1.2
红螺,7.6,20.2,0.9
黄螺［东风螺］,4.5,19.8,1.0
螺蛳,6.0,7.5,0.6
石螺,8.2,12.8,0.7
田螺,3.6,11.0,0.2
香海螺,10.1,22.7,3.5
